cluster,mz,fold_change,kruskal_pval
0,615.1,12.424,0.0
0,615.2,12.299,0.0
0,616.2,11.697,0.0
0,616.1,11.681,0.0
0,615.3,11.033,0.0
0,615.0,10.463,0.0
0,616.3,9.921,0.0
0,617.2,9.696,0.0
0,617.1,9.242,0.0
0,616.0,9.231,0.0
0,615.4,8.186,0.0
0,617.3,7.824,0.0
0,637.1,7.617,0.0
0,637.2,7.274,0.0
0,653.1,7.264,0.0
1,821.8,2.604,0.0
1,821.9,2.58,0.0
1,821.7,2.456,0.0
1,822.0,2.381,0.0
1,756.7,2.376,0.0
1,756.8,2.373,0.0
1,816.8,2.353,0.0
1,755.7,2.319,0.0
1,757.7,2.298,0.0
1,816.9,2.297,0.0
1,822.9,2.296,0.0
1,889.9,2.293,0.0
1,754.7,2.291,0.0
1,757.8,2.282,0.0
1,822.1,2.266,0.0
2,904.6,1.646,0.0
2,906.1,1.626,0.0
2,904.5,1.626,0.0
2,904.7,1.625,0.0
2,905.6,1.62,0.0
2,906.6,1.614,0.0
2,906.7,1.613,0.0
2,907.2,1.612,0.0
2,905.7,1.612,0.0
2,907.1,1.612,0.0
2,906.2,1.609,0.0
2,905.1,1.606,0.0
2,908.1,1.605,0.0
2,905.2,1.601,0.0
2,907.7,1.6,0.0
3,762.2,2.585,0.0
3,762.3,2.545,0.0
3,834.3,2.532,0.0
3,872.3,2.514,0.0
3,856.3,2.497,0.0
3,722.3,2.496,0.0
3,856.4,2.449,0.0
3,753.9,2.439,0.0
3,722.4,2.386,0.0
3,754.0,2.356,0.0
3,872.4,2.344,0.0
3,834.4,2.336,0.0
3,766.3,2.326,0.0
3,722.2,2.309,0.0
3,834.2,2.301,0.0
4,748.0,2.63,0.0
4,883.1,2.573,0.0
4,777.2,2.413,0.0
4,748.1,2.394,0.0
4,761.9,2.356,0.0
4,777.1,2.355,0.0
4,883.0,2.349,0.0
4,763.9,2.334,0.0
4,747.9,2.327,0.0
4,763.8,2.32,0.0
4,776.2,2.316,0.0
4,763.1,2.314,0.0
4,763.0,2.314,0.0
4,762.9,2.31,0.0
4,763.2,2.306,0.0
5,884.1,2.009,0.0
5,884.0,1.961,0.0
5,884.2,1.946,0.0
5,885.0,1.918,0.0
5,883.5,1.908,0.0
5,883.4,1.905,0.0
5,883.6,1.859,0.0
5,884.5,1.854,0.0
5,885.1,1.854,0.0
5,884.9,1.845,0.0
5,884.4,1.84,0.0
5,883.9,1.839,0.0
5,884.3,1.839,0.0
5,883.3,1.837,0.0
5,884.6,1.817,0.0
6,742.3,1.9,0.0
6,722.1,1.897,0.0
6,784.3,1.863,0.0
6,722.2,1.846,0.0
6,785.3,1.816,0.0
6,742.2,1.791,0.0
6,722.3,1.759,0.0
6,632.2,1.755,0.0
6,631.2,1.72,0.0
6,784.4,1.719,0.0
6,785.4,1.717,0.0
6,722.4,1.713,0.0
6,663.3,1.708,0.0
6,742.4,1.697,0.0
6,631.3,1.691,0.0
7,756.4,3.629,0.0
7,821.4,3.393,0.0
7,757.4,3.264,0.0
7,821.3,2.955,0.0
7,756.3,2.915,0.0
7,756.5,2.915,0.0
7,755.4,2.909,0.0
7,754.4,2.891,0.0
7,821.5,2.847,0.0
7,757.5,2.813,0.0
7,816.4,2.735,0.0
7,758.4,2.72,0.0
7,700.3,2.702,0.0
7,685.4,2.646,0.0
7,785.4,2.622,0.0
8,904.4,2.189,0.0
8,756.4,2.054,0.0
8,906.4,2.028,0.0
8,906.5,1.943,0.0
8,904.5,1.939,0.0
8,904.3,1.929,0.0
8,890.5,1.897,0.0
8,757.4,1.879,0.0
8,821.4,1.87,0.0
8,756.5,1.842,0.0
8,905.5,1.841,0.0
8,701.3,1.825,0.0
8,888.5,1.82,0.0
8,754.4,1.799,0.0
8,888.4,1.796,0.0
